Name,Epoch,RA,Dec,type,redshift,Distance_Mpc,Rest_DeltaT,Peak Luminosity,RMS,Flux_mjy,RMS_mjy,File Path,fits_path,center_lum,Detection,Gaussian Did Subtract,Gaussian Fit Success,Gaussian Fit Error,Brightest In Center,Brightest Y,Brightest X,Brightest Value,Final Brightest In Center,Final Brightest Y,Final Brightest X,Final Brightest Value,New Peak 3x3,New RMS,New SNR,New Detection,Gaussian Amp,Gaussian Sigma X,Gaussian Sigma Y,Gaussian Offset,Gaussian Adjusted File Path
ZTF17aaazdba,1,08:13:16.95,+22:38:53.9,TDE,0.022,94.28571428571428,49.882583170236174,5.020735264809433e+27,2.043336566841558e+27,0.4720176802948119,0.1921043334385252,final_luminosity_arrays\ZTF17aaazdba_epoch_1_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF17aaazdba_epoch_1.fits,1.2469718463704562e+27,False,False,False,Original Detection is False; no Gaussian subtraction attempted,,,,,True,7,6,5.020735264809433e+27,5.020735264809433e+27,2.0433662586857024e+27,2.457090227201256,False,,,,,C:\Research\bts_vlass_cross_matching\gaussian_adjusted_luminosity_arrays\ZTF17aaazdba_epoch_1_gaussian_adjusted_13x13_lum.npy
ZTF17aaazdba,2,08:13:16.95,+22:38:53.9,TDE,0.022,94.28571428571428,1002.9158512719974,1.1738638616486988e+28,1.3941463502663837e+27,1.1035923380404715,0.1310707005785422,final_luminosity_arrays\ZTF17aaazdba_epoch_2_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF17aaazdba_epoch_2.fits,1.023555435508845e+28,True,False,False,,True,15.0,14.0,1.1738638616486988e+28,True,7,6,1.1738638616486988e+28,1.1738638616486988e+28,1.394166608689209e+27,8.419824821025959,True,,,,,C:\Research\bts_vlass_cross_matching\gaussian_adjusted_luminosity_arrays\ZTF17aaazdba_epoch_2_gaussian_adjusted_13x13_lum.npy
ZTF17aaazdba,3,08:13:16.95,+22:38:53.9,TDE,0.022,94.28571428571428,1857.1232876712147,7.425113475750459e+27,1.3906373939262672e+27,0.6980620673857632,0.1307408059690482,final_luminosity_arrays\ZTF17aaazdba_epoch_3_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF17aaazdba_epoch_3.fits,7.425113475750459e+27,True,False,False,,True,14.0,14.0,7.425113475750459e+27,True,6,6,7.425113475750459e+27,7.425113475750459e+27,1.3906576013602417e+27,5.339282270839166,True,,,,,C:\Research\bts_vlass_cross_matching\gaussian_adjusted_luminosity_arrays\ZTF17aaazdba_epoch_3_gaussian_adjusted_13x13_lum.npy
ZTF18aadmssd,1,06:50:25.81,+43:03:11.6,SN IIn,0.01885,80.78571428571429,100.69195661760904,3.9456967117264464e+28,1.1831264855522356e+27,5.052860360592604,0.1515134138878493,final_luminosity_arrays\ZTF18aadmssd_epoch_1_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18aadmssd_epoch_1.fits,3.9456967117264464e+28,True,False,False,,True,14.0,14.0,3.9456967117264464e+28,True,6,6,3.9456967117264464e+28,3.9456967117264464e+28,1.183143677632963e+27,33.34926084057973,True,,,,,C:\Research\bts_vlass_cross_matching\gaussian_adjusted_luminosity_arrays\ZTF18aadmssd_epoch_1_gaussian_adjusted_13x13_lum.npy
ZTF18aadmssd,2,06:50:25.81,+43:03:11.6,SN IIn,0.01885,80.78571428571429,980.1148353534386,4.479759105988906e+28,9.76616750372856e+26,5.736780818551779,0.1250673868905761,final_luminosity_arrays\ZTF18aadmssd_epoch_2_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18aadmssd_epoch_2.fits,4.479759105988906e+28,True,False,False,,True,14.0,14.0,4.479759105988906e+28,True,6,6,4.479759105988906e+28,4.479759105988906e+28,9.766309416484445e+26,45.86951851461485,True,,,,,C:\Research\bts_vlass_cross_matching\gaussian_adjusted_luminosity_arrays\ZTF18aadmssd_epoch_2_gaussian_adjusted_13x13_lum.npy
ZTF18aadmssd,3,06:50:25.81,+43:03:11.6,SN IIn,0.01885,80.78571428571429,1941.9836089707524,4.3269421678190605e+28,1.0150867289257082e+27,5.541083402931691,0.129993925053581,final_luminosity_arrays\ZTF18aadmssd_epoch_3_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18aadmssd_epoch_3.fits,4.3269421678190605e+28,True,False,False,,True,14.0,14.0,4.3269421678190605e+28,True,6,6,4.3269421678190605e+28,4.3269421678190605e+28,1.0151014792108234e+27,42.62571039875719,True,,,,,C:\Research\bts_vlass_cross_matching\gaussian_adjusted_luminosity_arrays\ZTF18aadmssd_epoch_3_gaussian_adjusted_13x13_lum.npy
ZTF18aaemivw,1,10:33:42.69,+39:29:26.5,SN Ia,0.0654,280.2857142857143,171.3318962969903,9.47131991912858e+28,1.5919946755481105e+28,1.0076073231175544,0.1693669748773026,final_luminosity_arrays\ZTF18aaemivw_epoch_1_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18aaemivw_epoch_1.fits,7.384151711123466e+28,True,False,False,,True,15.0,14.0,9.471319919128579e+28,True,7,6,9.471319919128579e+28,9.471319919128579e+28,1.5920178089166163e+28,5.949255005868247,True,,,,,C:\Research\bts_vlass_cross_matching\gaussian_adjusted_luminosity_arrays\ZTF18aaemivw_epoch_1_gaussian_adjusted_13x13_lum.npy
ZTF18aaemivw,2,10:33:42.69,+39:29:26.5,SN Ia,0.0654,280.2857142857143,1037.6731765673114,6.009470095256107e+28,1.271230987663109e+28,0.6393180810846388,0.1352420017841195,final_luminosity_arrays\ZTF18aaemivw_epoch_2_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18aaemivw_epoch_2.fits,5.847421127364251e+28,True,False,False,,True,15.0,14.0,6.009470095256107e+28,True,7,6,6.009470095256107e+28,6.009470095256107e+28,1.2712494599955517e+28,4.727215455633024,True,,,,,C:\Research\bts_vlass_cross_matching\gaussian_adjusted_luminosity_arrays\ZTF18aaemivw_epoch_2_gaussian_adjusted_13x13_lum.npy
ZTF18aaemivw,3,10:33:42.69,+39:29:26.5,SN Ia,0.0654,280.2857142857143,1960.331333128228,4.647654502334642e+28,1.5793493274013577e+28,0.4944411921314895,0.1680216786933511,final_luminosity_arrays\ZTF18aaemivw_epoch_3_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18aaemivw_epoch_3.fits,2.7284556024844534e+28,False,False,False,Original Detection is False; no Gaussian subtraction attempted,,,,,True,7,5,4.647654502334642e+28,4.647654502334642e+28,1.5793722770195636e+28,2.9427226056577616,False,,,,,C:\Research\bts_vlass_cross_matching\gaussian_adjusted_luminosity_arrays\ZTF18aaemivw_epoch_3_gaussian_adjusted_13x13_lum.npy
ZTF18aaermez,1,10:12:42.89,+39:22:26.0,SN Ia,0.02284,97.88571428571429,88.73987115739233,1.1216561155480886e+28,1.4808956178322816e+27,0.9783715941011906,0.1291739277120893,final_luminosity_arrays\ZTF18aaermez_epoch_1_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18aaermez_epoch_1.fits,9.823228270028406e+27,True,False,False,,True,15.0,14.0,1.1216561155480886e+28,True,7,6,1.1216561155480886e+28,1.1216561155480886e+28,1.4809171368138294e+27,7.574063988220939,True,,,,,C:\Research\bts_vlass_cross_matching\gaussian_adjusted_luminosity_arrays\ZTF18aaermez_epoch_1_gaussian_adjusted_13x13_lum.npy
