Name,Epoch,RA,Dec,type,redshift,Distance_Mpc,Rest_DeltaT,File Path,RMS
ZTF17aaapufz,1,12:35:52.28,+27:55:55.4,LBV,0.00261,11.185714285714283,595.4658341728275,final_luminosity_arrays\ZTF17aaapufz_epoch_1_lum.npy,1.7118529689006957e+25
ZTF17aaapufz,2,12:35:52.28,+27:55:55.4,LBV,0.00261,11.185714285714283,1609.8183740437644,final_luminosity_arrays\ZTF17aaapufz_epoch_2_lum.npy,2.2478260454845942e+25
ZTF17aaapufz,3,12:35:52.28,+27:55:55.4,LBV,0.00261,11.185714285714283,2496.504124235764,final_luminosity_arrays\ZTF17aaapufz_epoch_3_lum.npy,1.893125003294917e+25
ZTF17aaazdba,1,08:13:16.95,+22:38:53.9,TDE,0.022,94.28571428571428,49.882583170236174,final_luminosity_arrays\ZTF17aaazdba_epoch_1_lum.npy,2.2173885023239383e+27
ZTF17aaazdba,2,08:13:16.95,+22:38:53.9,TDE,0.022,94.28571428571428,1002.9158512719974,final_luminosity_arrays\ZTF17aaazdba_epoch_2_lum.npy,1.5779273676486018e+27
ZTF17aaazdba,3,08:13:16.95,+22:38:53.9,TDE,0.022,94.28571428571428,1857.1232876712147,final_luminosity_arrays\ZTF17aaazdba_epoch_3_lum.npy,1.3608888419984965e+27
ZTF17aabtvsy,1,10:35:32.09,+37:38:59.0,SN Ia,0.06922,296.65714285714284,-1184.4853912197177,final_luminosity_arrays\ZTF17aabtvsy_epoch_1_lum.npy,1.3856647242273351e+28
ZTF17aabtvsy,2,10:35:32.09,+37:38:59.0,SN Ia,0.06922,296.65714285714284,-321.23928658269267,final_luminosity_arrays\ZTF17aabtvsy_epoch_2_lum.npy,1.3323265874028864e+28
ZTF17aabtvsy,3,10:35:32.09,+37:38:59.0,SN Ia,0.06922,296.65714285714284,598.1224911618314,final_luminosity_arrays\ZTF17aabtvsy_epoch_3_lum.npy,1.2464407716674027e+28
ZTF17aacldgo,1,03:09:24.35,-04:53:39.2,SN Ia,0.072,308.57142857142856,-1686.942164178889,final_luminosity_arrays\ZTF17aacldgo_epoch_1_lum.npy,1.3880081647807946e+28
ZTF17aacldgo,2,03:09:24.35,-04:53:39.2,SN Ia,0.072,308.57142857142856,-735.4496268654561,final_luminosity_arrays\ZTF17aacldgo_epoch_2_lum.npy,1.7186720046105006e+28
ZTF17aacldgo,3,03:09:24.35,-04:53:39.2,SN Ia,0.072,308.57142857142856,170.33395522409603,final_luminosity_arrays\ZTF17aacldgo_epoch_3_lum.npy,1.454485361285632e+28
ZTF17aacpbmv,1,03:17:51.82,-00:06:17.8,SN Ic,0.023,98.57142857142856,-2102.9455961836165,final_luminosity_arrays\ZTF17aacpbmv_epoch_1_lum.npy,2.137136684439291e+27
ZTF17aacpbmv,2,03:17:51.82,-00:06:17.8,SN Ic,0.023,98.57142857142856,-1149.866417297986,final_luminosity_arrays\ZTF17aacpbmv_epoch_2_lum.npy,2.117987033890197e+27
