Transient Name,Epoch,Peak Flux,RMS Flux,redshift,dt,Luminosity (erg/s/Hz),RA,Dec,Unique FITS Part
ZTF17aabtvsy,VLASS1.2v2,0.458,0.135,0.06922,-1244.52,1.6807116726768106e+28,10:35:32.09,+37:38:59.0,T20t01/VLASS1.2.ql.T20t01.J004234+373000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF17aabtvsy,VLASS2.2,0.342,0.126,0.06922,-321.52,1.56866422783169e+28,10:35:32.09,+37:38:59.0,T20t01/VLASS2.2.ql.T20t01.J004234+373000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF17aacldgo,VLASS1.1v2,0.313,0.122,0.072,-1808.4,1.6496409403464726e+28,03:09:24.35,-04:53:39.2,T09t01/VLASS1.1.ql.T09t01.J001402-043000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF17aacldgo,VLASS2.1,0.321,0.155,0.072,-788.4,2.0958552930631413e+28,03:09:24.35,-04:53:39.2,T09t01/VLASS2.1.ql.T09t01.J001402-043000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF17aacldgo,VLASS3.1,0.358,0.128,0.072,182.6,1.7307708226585942e+28,03:09:24.35,-04:53:39.2,T09t01/VLASS3.1.ql.T09t01.J001402-043000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF17aadlxmv,VLASS1.2v2,0.265,0.115,0.062,-253.35,1.1371376421635253e+28,08:29:47.59,+33:54:22.8,T19t01/VLASS1.2.ql.T19t01.J003546+333000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF17aadlxmv,VLASS2.2,0.35,0.111,0.062,688.65,1.097585028523055e+28,08:29:47.59,+33:54:22.8,T19t01/VLASS2.2.ql.T19t01.J003546+333000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF18aaaonon,VLASS1.1v2,0.352,0.104,0.07141,-1667.2,1.382173290096067e+28,10:19:05.51,+14:24:16.6,T14t02/VLASS1.1.ql.T14t02.J004203+143000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF18aaaonon,VLASS2.1,0.295,0.11,0.07141,-566.2,1.4619140568323783e+28,10:19:05.51,+14:24:16.6,T14t02/VLASS2.1.ql.T14t02.J004203+143000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF18aaaonon,VLASS3.1,0.288,0.149,0.07141,273.8,1.9802290406184032e+28,10:19:05.51,+14:24:16.6,T14t02/VLASS3.1.ql.T14t02.J004203+143000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF18aaaqexr,VLASS1.1v2,0.302,0.113,0.0702,-832.31,1.4488980031728618e+28,11:43:06.37,+15:34:01.7,T14t02/VLASS1.1.ql.T14t02.J004612+153000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF18aaaqexr,VLASS2.1,0.35,0.135,0.0702,246.69,1.7309843400737726e+28,11:43:06.37,+15:34:01.7,T14t02/VLASS2.1.ql.T14t02.J004612+153000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF18aaaqexr,VLASS3.1,0.409,0.138,0.0702,1074.69,1.769450658742079e+28,11:43:06.37,+15:34:01.7,T14t02/VLASS3.1.ql.T14t02.J004612+153000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF18aabdgik,VLASS1.1v2,0.302,0.132,0.02169,-306.5,1.507276730747629e+27,11:42:23.68,+10:15:50.7,T13t02/VLASS1.1.ql.T13t02.J004605+103000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF18aabdgik,VLASS2.1,0.378,0.127,0.02169,623.5,1.4501829151890066e+27,11:42:23.68,+10:15:50.7,T13t02/VLASS2.1.ql.T13t02.J004605+103000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF18aabdgik,VLASS3.1,0.37,0.158,0.02169,1541.5,1.804164571652465e+27,11:42:23.68,+10:15:50.7,T13t02/VLASS3.1.ql.T13t02.J004605+103000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF18aaceepu,VLASS1.2v2,0.352,0.133,0.04077,-1198.52,5.517752918824591e+27,09:47:59.44,+34:44:30.5,T19t01/VLASS1.2.ql.T19t01.J004100+343000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF18aaceepu,VLASS2.2,0.221,0.106,0.04077,-276.52,4.397607589439148e+27,09:47:59.44,+34:44:30.5,T19t01/VLASS2.2.ql.T19t01.J004100+343000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF18aadlaxo,VLASS1.2v2,0.335,0.134,0.05295,-704.26,9.541853795059438e+27,08:02:35.75,+50:55:21.1,T23t01/VLASS1.2.ql.T23t01.J003413+503000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
